Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,44293,2,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1774442670965613.830	,4.700,0.000000,32,0,NO,"""16,2,64;3""",DT_BF16;INT64,NCL;ND,"""16,2,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063,118831,0.063,0.03,1.454,0.705,0.106,0.051,0.114,0.055,0.048,0.000
0,4294967295,44294,2,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774442670965618.550	,2.340,0.050000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412,20336,0.008,0.006,0.344,0.243,0.103,0.073,0.244,0.173,0.236,0.000
0,4294967295,44295,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774442670965794.066	,2.140,173.160000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516,2729,0.049,0.032,0.337,0.222,0.086,0.056,0.666,0.439,0.188,0.000
0,4294967295,44296,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774442670965860.544	,1.360,64.360000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,1444,0.049,0.061,0.301,0.375,0.114,0.143,0.123,0.153,0.188,0.000
0,2,0,48,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774442670965866.744	,1.380,4.890000,1,0,NO,"""16""",INT32,ND,"""16""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,1445,0.023,0.028,0.282,0.352,0.205,0.255,0.127,0.158,0.126,0.000
0,2,1,48,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,GreaterEqual,static,AI_VECTOR_CORE,1774442670965868.144	,2.940,0.120000,1,0,NO,"""16;""",INT64;INT64,ND;ND,"""16""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.367,4261,0.527,0.223,0.676,0.286,0.233,0.098,0.136,0.057,0.134,0.000
0,2,2,48,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774442670965871.124	,1.200,0.000000,1,0,NO,"""16""",INT32,ND,"""16""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,1245,0.023,0.033,0.276,0.398,0.114,0.165,0.134,0.194,0.126,0.000
0,2,3,48,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,LessAiCore,static,AI_VECTOR_CORE,1774442670965872.344	,2.760,0.050000,1,0,NO,"""16;""",INT64;INT64,ND;ND,"""16""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251,4052,0.508,0.226,0.646,0.287,0.249,0.111,0.124,0.055,0.148,0.000
0,2,4,48,LogicalAnd_91d2a3cdd75d915a368582ec5f440af1_high_performance_210000000,LogicalAndAiCore,static,AI_VECTOR_CORE,1774442670965875.124	,1.480,0.000000,1,0,NO,"""16;16""",BOOL;BOOL,ND;ND,"""16""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956,1721,0.058,0.06,0.304,0.318,0.213,0.223,0.129,0.135,0.148,0.000
0,2,5,48,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774442670965876.624	,1.380,0.020000,1,0,NO,"""16""",BOOL,ND,"""16""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,1523,0.042,0.049,0.316,0.373,0.111,0.131,0.135,0.16,0.189,0.000
