Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,11,41,214,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,QuantBatchMatmulV3,static,MIX_AIC,1779269392767188.680	,26.620,1.010000,24,24,NO,"""3,3072;192,192,16,32;6144;3""",INT8;INT8;DT_BF16;FLOAT,ND;FRACTAL_NZ;ND;ND,"""3,6144""",DT_BF16,ND,0,23.373,1009733,1.609,0.069,14.716,0.63,5.071,0.217,12.181,0.521,0.191,0.008,0.0,24.236,1046976,0.169,0.007,3.99,0.165,3.366,0.139,0.136,0.006,0.099,87.804
0,4294967295,N/A,N/A,hcom_allReduce__360_2_21,hcom_allReduce_,N/A,COMMUNICATION,1779269392767217.040	,11.660,1.630000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,12,215,AivKernel,hcom_allReduce_,static,COMMUNICATION,1779269392767217.040	,11.660,0.000000,4,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.284,52444,0.022,0.003,2.439,0.335,3.528,0.484,0.57,0.078,0.191,0.000
0,11,44,214,AddRmsNormBias_352d2859a07d64c080e8dfc836d9897f_33,AddRmsNormBias,static,AI_VECTOR_CORE,1779269392767229.360	,3.840,0.590000,3,0,NO,"""3,6144;3,6144;6144;6144""",DT_BF16;DT_BF16;DT_BF16;DT_BF16,ND;ND;ND;ND,"""3,6144;3,1;3,6144""",DT_BF16;FLOAT;DT_BF16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278,17702,1.594,0.486,0.69,0.211,0.829,0.253,0.483,0.147,0.182,0.000
0,4294967295,45,214,mla_preprocess_0_mix_aic,mla_preprocess_0_mix_aic,N/A,MIX_AIC,1779269392767234.420	,69.840,1.410000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2833380,0.0,0.039,0.0,0.409,0.0,0.083,0.0,0.361,0.0,0.014,0.16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.911
0,11,46,214,MatMulV2_ND_ND_FP16_FP16_false_true_all_98513,MatMulV2,static,AI_CORE,1779269392767305.240	,14.320,0.910000,8,0,NO,"""3,6144;128,6144""",DT_BF16;DT_BF16,ND;ND,"""3,128""",DT_BF16,ND,N/A,13.132,189098,1.676,0.128,10.525,0.802,2.129,0.162,5.919,0.451,0.314,0.024,0.014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.568
0,11,47,214,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,Cast,static,AI_VECTOR_CORE,1779269392767319.580	,1.280,0.000000,1,0,NO,"""3,128""",DT_BF16,ND,"""3,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743,1338,0.026,0.034,0.278,0.374,0.113,0.152,0.126,0.17,0.151,0.000
0,11,48,214,LayerNormV3_23ae115d70bd435e4cb966a52be97b55_high_precision_1600400500,LayerNormV3,static,AI_VECTOR_CORE,1779269392767320.880	,5.120,0.220000,3,0,NO,"""3,128;128;128""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""3,128;3,1;3,1""",FLOAT;FLOAT;FLOAT,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445,24003,0.34,0.076,1.219,0.274,0.408,0.092,0.356,0.08,0.209,0.000
0,11,49,214,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,Cast,static,AI_VECTOR_CORE,1779269392767326.040	,1.200,0.000000,1,0,NO,"""3,128""",FLOAT,ND,"""3,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689,1240,0.026,0.037,0.272,0.394,0.106,0.153,0.13,0.189,0.147,0.000
0,4294967295,50,214,_triton_rope_siso_0,_triton_rope_siso_0,N/A,AI_VECTOR_CORE,1779269392767327.260	,1.900,0.050000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662,0.0,0.186,0.0,0.307,0.0,0.24,0.0,0.098,0.16,0.000
